tipo,genero,clase,fecha,hora,archivo
persona,HOMBRE,,2025-08-06,15:49:13,capturas/HOMBRE_1754513353.jpg
persona,HOMBRE,,2025-08-06,15:49:13,capturas/HOMBRE_1754513353.jpg
persona,HOMBRE,,2025-08-06,15:49:14,capturas/HOMBRE_1754513354.jpg
persona,HOMBRE,,2025-08-06,15:49:14,capturas/HOMBRE_1754513354.jpg
persona,HOMBRE,,2025-08-06,15:49:14,capturas/HOMBRE_1754513354.jpg
persona,HOMBRE,,2025-08-06,15:49:14,capturas/HOMBRE_1754513354.jpg
persona,HOMBRE,,2025-08-06,15:49:15,capturas/HOMBRE_1754513355.jpg
persona,HOMBRE,,2025-08-06,15:49:15,capturas/HOMBRE_1754513355.jpg
persona,HOMBRE,,2025-08-06,15:49:15,capturas/HOMBRE_1754513355.jpg
persona,HOMBRE,,2025-08-06,15:49:16,capturas/HOMBRE_1754513356.jpg
persona,HOMBRE,,2025-08-06,15:49:16,capturas/HOMBRE_1754513356.jpg
persona,HOMBRE,,2025-08-06,15:49:16,capturas/HOMBRE_1754513356.jpg
persona,HOMBRE,,2025-08-06,15:49:16,capturas/HOMBRE_1754513356.jpg
persona,HOMBRE,,2025-08-06,15:49:17,capturas/HOMBRE_1754513357.jpg
